symbol,year,month,day,price
BTC,2017,8,1,2773.8
BTC,2017,8,2,2822.88
BTC,2017,8,3,2892.67
BTC,2017,8,4,3344.01
BTC,2017,8,5,3295.07
BTC,2017,8,6,3425.13
BTC,2017,8,7,3494.87
BTC,2017,8,8,3437.15
BTC,2017,8,9,3453.84
BTC,2017,8,10,3706.48
BTC,2017,8,11,3967.26
BTC,2017,8,12,4189.42
BTC,2017,8,13,4336.71
BTC,2017,8,14,4436.48
BTC,2017,8,15,4398.06
BTC,2017,8,16,4487.5
BTC,2017,8,17,4362.73
BTC,2017,8,18,4189.68
BTC,2017,8,19,4182.29
BTC,2017,8,20,4097.25
BTC,2017,8,21,4142.68
BTC,2017,8,22,4255.62
BTC,2017,8,23,4364.11
BTC,2017,8,24,4461.71
BTC,2017,8,25,4379.28
BTC,2017,8,26,4408.18
BTC,2017,8,27,4403.13
BTC,2017,8,28,4647.83
BTC,2017,8,29,4644.06
BTC,2017,8,30,4765.07
BTC,2017,8,31,4925.23
BTC,2017,9,1,4976.52
BTC,2017,9,2,4719.78
BTC,2017,9,3,4621.01
BTC,2017,9,4,4496.67
BTC,2017,9,5,4660.04
BTC,2017,9,6,4690.55
BTC,2017,9,7,4699.59
BTC,2017,9,8,4402.15
BTC,2017,9,9,4338.08
BTC,2017,9,10,4364.42
BTC,2017,9,11,4387.76
BTC,2017,9,12,4174.58
BTC,2017,9,13,3930.69
BTC,2017,9,14,3824.43
BTC,2017,9,15,3893.67
BTC,2017,9,16,3796.56
BTC,2017,9,17,4122.75
BTC,2017,9,18,4120.71
BTC,2017,9,19,4053.04
BTC,2017,9,20,3912.79
BTC,2017,9,21,3753.51
BTC,2017,9,22,3813.39
BTC,2017,9,23,3790.89
BTC,2017,9,24,3971.5
BTC,2017,9,25,3982.31
BTC,2017,9,26,4232.35
BTC,2017,9,27,4274.64
BTC,2017,9,28,4237.51
BTC,2017,9,29,4383.27
BTC,2017,9,30,4412.62
BTC,2017,10,1,4477.38
BTC,2017,10,2,4435.99
BTC,2017,10,3,4355.29
BTC,2017,10,4,4365.76
BTC,2017,10,5,4422.15
BTC,2017,10,6,4472.92
BTC,2017,10,7,4622.87
BTC,2017,10,8,4875.38
BTC,2017,10,9,4930
BTC,2017,10,10,4874.89
BTC,2017,10,11,5432.63
BTC,2017,10,12,5852.78
BTC,2017,10,13,5839.62
BTC,2017,10,14,5862.69
BTC,2017,10,15,5795.33
BTC,2017,10,16,5773.32
BTC,2017,10,17,5601.3
BTC,2017,10,18,5737.41
BTC,2017,10,19,6075.32
BTC,2017,10,20,6187.2
BTC,2017,10,21,6070.56
BTC,2017,10,22,6048.98
BTC,2017,10,23,5904.63
BTC,2017,10,24,5747.96
BTC,2017,10,25,5970.4
BTC,2017,10,26,5997.83
BTC,2017,10,27,5871.04
BTC,2017,10,28,6295.43
BTC,2017,10,29,6226.18
BTC,2017,10,30,6467.2
BTC,2017,10,31,6738.74
BTC,2017,11,1,7339.91
BTC,2017,11,2,7445.62
BTC,2017,11,3,7492.24
BTC,2017,11,4,7599.44
BTC,2017,11,5,7429.7
BTC,2017,11,6,7222.37
BTC,2017,11,7,7869.1
BTC,2017,11,8,7457.12
BTC,2017,11,9,7318.97
BTC,2017,11,10,6821.5
BTC,2017,11,11,6490.53
BTC,2017,11,12,6760.15
BTC,2017,11,13,6728.59
BTC,2017,11,14,7330.06
BTC,2017,11,15,7964.64
BTC,2017,11,16,8000.19
BTC,2017,11,17,7857.52
BTC,2017,11,18,8100.87
BTC,2017,11,19,8294.12
BTC,2017,11,20,8368.36
BTC,2017,11,21,8304.37
BTC,2017,11,22,8266.55
BTC,2017,11,23,8332.94
BTC,2017,11,24,8761.98
BTC,2017,11,25,9474.62
BTC,2017,11,26,9733.61
BTC,2017,11,27,9969.58
BTC,2017,11,28,11417.84
BTC,2017,11,29,10689.06
BTC,2017,11,30,10942.8
BTC,2017,12,1,11175.23
BTC,2017,12,2,11851.09
BTC,2017,12,3,11624.63
BTC,2017,12,4,11901.87
BTC,2017,12,5,13843.2
BTC,2017,12,6,16879.26
BTC,2017,12,7,17294.85
BTC,2017,12,8,16313.18
BTC,2017,12,9,15783.2
BTC,2017,12,10,17399.18
BTC,2017,12,11,17560.65
BTC,2017,12,12,17267.96
BTC,2017,12,13,16941.08
BTC,2017,12,14,17987.03
BTC,2017,12,15,19587.7
BTC,2017,12,16,19870.62
BTC,2017,12,17,19221.1
BTC,2017,12,18,19021.97
BTC,2017,12,19,17813.6
BTC,2017,12,20,17301.83
BTC,2017,12,21,15823.72
BTC,2017,12,22,15493.23
BTC,2017,12,23,14413.72
BTC,2017,12,24,14467.43
BTC,2017,12,25,16094.67
BTC,2017,12,26,16514.59
BTC,2017,12,27,15505.51
BTC,2017,12,28,15109.81
BTC,2017,12,29,14461.46
BTC,2017,12,30,14241.82
BTC,2017,12,31,13921.53
BTC,2018,1,1,15306.13
BTC,2018,1,2,15435.01
BTC,2018,1,3,15408.66
BTC,2018,1,4,17126.95
BTC,2018,1,5,17252.85
BTC,2018,1,6,17184.81
BTC,2018,1,7,16302.92
BTC,2018,1,8,15390.28
BTC,2018,1,9,14919.49
BTC,2018,1,10,14979.96
BTC,2018,1,11,14129.08
BTC,2018,1,12,14595.04
BTC,2018,1,13,14415.67
BTC,2018,1,14,14355.82
BTC,2018,1,15,13648.84
BTC,2018,1,16,11736.3
BTC,2018,1,17,12018.43
BTC,2018,1,18,11780.49
BTC,2018,1,19,13031.04
BTC,2018,1,20,12787.35
BTC,2018,1,21,11913.74
BTC,2018,1,22,11388.52
BTC,2018,1,23,11531.6
BTC,2018,1,24,11741.92
BTC,2018,1,25,11656.54
BTC,2018,1,26,11638.69
BTC,2018,1,27,12064.19
BTC,2018,1,28,11860.29
BTC,2018,1,29,11263.7
BTC,2018,1,30,10377.96
BTC,2018,1,31,10280.84
BTC,2018,2,1,9147.93
BTC,2018,2,2,9504.37
BTC,2018,2,3,9400.99
BTC,2018,2,4,8391.29
BTC,2018,2,5,7932.38
BTC,2018,2,6,8572.68
BTC,2018,2,7,8643.94
BTC,2018,2,8,8743.2
BTC,2018,2,9,9081.49
BTC,2018,2,10,8573.35
BTC,2018,2,11,8997.34
BTC,2018,2,12,8955.15
BTC,2018,2,13,9508.22
BTC,2018,2,14,10223.58
BTC,2018,2,15,10303.14
BTC,2018,2,16,11119.45
BTC,2018,2,17,11288.34
BTC,2018,2,18,11265.96
BTC,2018,2,19,11802.23
BTC,2018,2,20,11295.58
BTC,2018,2,21,10941.57
BTC,2018,2,22,10420.67
BTC,2018,2,23,10528
BTC,2018,2,24,9873.79
BTC,2018,2,25,10457.51
BTC,2018,2,26,10879.38
BTC,2018,2,27,11067.76
